Num,Movements,Exercise Type,Target Muscle,Movement Pattern,Equipment,Skills Level,Desc
29,Two-Way Swing,Strength,Abs,Push,Kettlebells,Intermediate,"Two-Way Swing is a type of exercise that utilizes swings, kettlebells, and durable resistance bands to help people increase their strength, agility, and overall fitness It's a full-body workout that focuses on large movements, helping to build stability, coordination, and power while also improving cardiovascular endurance"
30,Kettlebell Crab Reach,Strength,Abs, Hinge,Kettlebells,Intermediate,"Kettlebell Crab Reach is a type of exercise that combines strength, endurance and coordination It combines bodyweight squats with a kettlebell reach simultaneously, creating an exercise that challenges the entire body with one powerful movement Benefits of this exercise include improved functional fitness, core stability, balance, and agility"
31,Taylor Single-Arm Kettlebell Swing,Strength,Abs,Hinge,Kettlebells,Intermediate,"The Taylor Single-Arm Kettlebell Swing is an exercise that targets strength and core training This particular fitness movement consists of gripping the handle of a kettlebell with one arm, while swinging the kettlebell forward and backward between the legs in an explosive motion It is a great way to build cardiovascular endurance and power, while simultaneously strengthening the entire body"
32,Holman Kettlebell Up To Elbow Down,Strength,Abs,Pull,Kettlebells,Intermediate,"Holman Kettlebell Up To Elbow Down is a simple and effective full-body exercise that strengthens and builds endurance It involves holding a kettlebell with both hands in the scooped-up ""up"" position, and pushing it down to your elbows while keeping your arms completely straight This movement works different muscle groups and also provides an intense cardiovascular workout that can help improve your agility, balance, and body composition"
33,Fyr2 Double-Kettlebell Ski,Strength,Abs,Hinge,Kettlebells,Intermediate,"Fyr2 Double-Kettlebell Ski is a full-body fitness movement that combines strength and endurance It is performed by doing a single-arm kettlebell swing alternating between the two hands while taking an alternate step forward and backward like a basic ski movement It is ideal for building strength, balance, and stamina, as it challenges both the upper and lower body"
34,Fyr2 Kettlebell Hike,Strength,Abs,Hike,Kettlebells,Intermediate,"Fyr2 Kettlebell Hike is a fitness movement that combines hiking and kettlebell lifting to provide a full-body workout The goal of this fitness movement is to help you become stronger, burn calories, and challenge yourself with each step It also includes an optional 15 minute post-hike mobility/stretching session to help you recover from the intense workout"
35,Fyr2 Kettlebell Cross-Body Catch,Strength,Abs,Twist,Kettlebells,Intermediate,"The Fyr2 Kettlebell Cross-Body Catch is a dynamic total body exercise that works the whole body by combining strength, power, coordination, balance, and stability It works by using a single weight, usually a kettlebell or dumbbell, and performing a single-arm row into a cross-body catch while resisting the kettlebell?™s momentum with your other arm This movement helps to strengthen and engage the muscles in your core, arms, shoulders, and back"
36,Fyr2 Kettlebell Duck Walk,Strength,Abs,Hinge,Kettlebells,Intermediate,"Fyr2 Kettlebell Duck Walk is a strength and conditioning movement that works to improve mobility, coordination, and balance It is performed by getting into a ""duck walk"" position, holding a kettlebell in each hand, and then stepping forward and backward while maintaining the bent-knee position and keeping the back straight This movement challenges the entire body to build strength, stability, and agility"
37,Fyr2 Kettlebell Get-Up Reach,Strength,Abs,Hinge,Kettlebells,Intermediate,"Fyr2 Kettlebell Get-Up Reach is a dynamic and powerful fitness movement perfect for building strength, balance, flexibility, and cardiovascular fitness It combines the kettlebell get-up with lateral over and unders, creating a challenging exercise This movement is great for increasing explosive power, targeting the core and lower body, and sculpting the arms"
38,Fyr2 Kettlebell Juggle,Strength,Abs,Twist,Kettlebells,Intermediate,"Fyr2 Kettlebell Juggle is a popular and intense kettlebell workout developed by fitness expert Chris Keogh This full body functional movement involves continuously juggling two kettlebells of equal weight, usually in sets of 30-60 seconds; while improving strength, stability, co-ordination and agility It is a great up tempo exercise routine that can be adapted for both beginner and expert levels"
39,Fyr2 Squat-Clean-Alternating-Press Complex,Strength,Abs,Squat,Kettlebells,Intermediate,"The Fyr2 Squat-Clean-Alternating-Press Complex is a challenging but effective full-body functional fitness movement designed to improve overall athleticism It involves squatting, cleaning a barbell from a low position, alternating pressing the barbell overhead in a split stance, and then returning to the start position This complex works the entire body in a single, explosive movement to challenge coordination, explosiveness, and strength"
40,Dumbbell V-Sit Cross Jab,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell V-Sit Cross Jab is an upper body exercise that uses free weights to target the arms, shoulders, and core It is performed in a V shape with the torso leaning back, while alternating arms punch forward and across the body in a jab motion This dynamic fitness movement is great for strengthening and toning the arms and shoulders and engaging the core muscles"
41,Dumbbell Spell Caster,Strength,Abs,Push,Dumbbell,Beginner,"Dumbbell Spell Caster is an intense, full-body fitness movement that combines free-weight dumbbell lifts with bodyweight exercises for a challenging and dynamic routine The movements involved help to improve core and upper body strength, while also developing coordination, balance, and power It?™s an effective, time-saving way to get a full body workout in a short time"
42,Dumbbell Side Bend,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell Side Bend is a fitness movement that primarily targets the obliques, or outer abdominal muscles It is performed by standing with your feet shoulder-width apart and holding a dumbbell in each hand close to your body Then, slowly bend to the right side as far as comfortable, then to the left side, repeating for the desired number of repetitions This exercise is a great way to strengthen and tone the obliques for a balanced physique"
43,Dumbbell Crunch,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell Crunch is a popular core strengthening exercise It specifically targets the abdominal muscles and is one of the best all-around exercises for improving core strength, stability, and balance The exercise involves lying flat on the ground or on a mat, with a dumbbell held in both hands and lifted upwards, while keeping the arms extended and the chest and legs off the ground This exercise is great for those looking to improve their core power and overall body strength"
44,Dumbbell Fix Dumbbell Sprawl,Strength,Abs,Lunge,Dumbbell,Intermediate,"The Dumbbell Fix Dumbbell Sprawl is a total-body workout that combines intense strength and conditioning training with functional movements This dynamic workout uses dumbbells to target specific muscle groups and develop functional strength, coordination, and balance while challenging the cardiovascular system This exercise is great for those looking to improve overall body composition and build muscular endurance"
45,Dumbbell Fix Alternating Renegade Row,Strength,Abs,Push/pull,Dumbbell,Intermediate,"The Dumbbell Fix Alternating Renegade Row is an excellent exercise for improving upper body strength and power This exercise works the abdominal, chest, shoulders, and triceps muscles while also challenging your core stability and balance It involves holding a set of dumbbells in either hand, performing a row with one arm while keeping the other arm stationary A renegade row requires you to brace your core and stabilize your body during the exercise, making it a great addition to any fitness routine"
46,Dumbbell Fix Dumbbell Mountain Climber,Strength,Abs,Lunge,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Mountain Climber is a dynamic and challenging fitness exercise designed to build strength and core stability, while providing an effective full-body workout The movement involves alternating steps with one foot on each dumbbell while keeping the core tight and the spine neutral It is a great way to challenge coordination, balance, and core strength while increasing the intensity of a workout It also helps to stimulate the cardiovascular system for an effective and efficient workout"
47,Dumbbell Fix Dumbbell Russian Twist,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell Fix Dumbbell Russian Twist is an effective movement for toning and strengthening your core muscles It involves sitting with your legs extended in front of you and holding a dumbbell with both hands, then alternating twisting at the waist while keeping the feet planted firmly on the ground This exercise develops rotational and abdominal power while increasing stability and range of motion in the trunk"
48,Dumbbell Fix Dumbbell Pull-Over,Strength,Abs,Pull,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Pull-Over is a comprehensive fitness program designed to strengthen and tone your shoulders, chest, back, arms, and abdominal muscles The program consists of a series of dumbbell exercises which use an adjustable weight to increase the intensity of each exercise The primary focus is to increase shoulder mobility and stability while developing explosive strength and power from the arms, chest, and back By combining the use of a fixed dumbbell and pull-over movement this program provides an"
49,Dumbbell Fix Dumbbell Sit-Up,Strength,Abs,Twist,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Sit-Up is a fitness movement designed to strengthen the core muscles and lower body It involves lying on your back and holding a dumbbell in both hands while you perform a traditional sit-up By incorporating the additional weight from the dumbbell, users can challenge their muscles more and build greater strength endurance"
50,Dumbbell Fix Dumbbell Front Squat,Strength,Abs,Squat,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Front Squat is a fitness movement that is designed to strengthen and tone the lower body It is one of the best exercises for strengthening the glutes, quadriceps, and core, as well as increasing balance and coordination The movement consists of standing with a pair of dumbbells held upright in front of the body From there, the hands are wrapped around the handle of the dumbbell, with the elbows bent, and the torso lowered until the"
51,Dumbbell Fix Full Man Maker,Strength,Abs,Push/Pull/Hinge/Squat,Dumbbell,Intermediate,"Dumbbell Fix Full Man Maker is a challenging full-body workout designed to be completed in 8 minutes or less using a single set of dumbbells This program focuses on compound exercises such as squats, push-ups, lunges, rows, curls, and other movements to raise your heart rate, build strength and obtain a lean chiseled physique"
52,Dumbbell T-Hold,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell T-Hold is a great way to increase stability and core strength in the upper body It involves holding two dumbbells in a ?œT??position while standing, with palms facing down or out To challenge yourself further, you can increase the weight of the dumbbells and even hold them for longer periods of time This exercise is a simple yet effective way to build muscle, improve posture, and strengthen the stabilizing muscles in the shoulder joints"
53,Dumbbell Hollow-Body Floor Press,Strength,Abs,Push,Dumbbell,Intermediate,"The Dumbbell Hollow-Body Floor Press is an effective strength and muscle building movement that targets the chest, shoulders, and triceps It involves lying on your back on the floor with your arms extended above your chest while holding a pair of dumbbells You then lower the dumbbells to your chest and press them back to the start position By incorporating this movement into your workout routine, you can improve your strength, muscular endurance, and core stability"
54,Dumbbell Crusher,Strength,Abs,Push,Dumbbell,Intermediate,"The Dumbbell Crusher fitness movement is a full body workout that focuses on using a pair of dumbbells to execute various various exercises including, but not limited to, shoulder presses, lateral raises, overhead presses, and bent over rows It is designed to increase overall strength, build and tone muscle, and increase cardiovascular endurance"
55,Dumbbell Crunch - Gethin Variation,Strength,Abs,Twist,Dumbbell,Intermediate,"The Dumbbell Crunch - Gethin Variation is a challenging abdominal exercise that strengthens and tones the core muscles It is performed by lying on your back on the floor or a bench, and holding a weighted dumbbell in each hand above your chest with your arms fully extended You then crunch your upper body up, focusing on contracting your abdominals rather than simply moving your arms, slowly releasing back down to the starting position"
56,Single-Arm Dumbbell Crunch,Strength,Abs,Twist,Dumbbell,Intermediate,"The Single-Arm Dumbbell Crunch is a fitness movement that targets the core and obliques to build abdominal strength and stability This exercise consists of starting in a plank position, with one dumbbell in one hand, and then slowly crunching the arm, shoulder, and upper back up toward the chest This movement engages the traditional crunch muscles, and it also develops unilateral strength in the arms and torso"
57,Hm Alternating Dumbbell Plank Row,Strength,Abs,Pull,Dumbbell,Intermediate,"The 'Hm Alternating Dumbbell Plank Row' is a great full-body exercise that strengthens the core, shoulders, arms, and back while also improving stability and balance It consists of alternating dumbbell rows while in a plank position, placing emphasis on form and strength This exercise is a great option for those looking to build a strong and fit body"
58,Dumbbell Straight-Legged Hip Raise,Strength,Abs,Hinge,Dumbbell,Intermediate,"The Dumbbell Straight-Legged Hip Raise is a popular core and glute-strengthening exercise that is highly effective in strengthening the lower body, abdominal, and hip muscles The exercise is performed by lying face-up on a selection padded surface with the feet propped up on a sturdy box or step A dumbbell is then placed across the hip-flexor while the core is engaged and the legs are slowly raised up towards the ceiling This exercise helps to improve overall"
59,Seated Leg Tuck With Dumbbell,Strength,Abs,Hinge,Dumbbell,Intermediate,"The Seated Leg Tuck With Dumbbell is a bodyweight fitness movement that is an intense core workout that strengthens and tones the abdominal muscles It is popular among athletes as it helps build endurance and coordination The exercise includes sitting on a chair or mat with a dumbbell, and tucking your legs into your chest one at a time By doing this, you are able to strengthen and engage your core muscles while also working on your balance This is a great way to strengthen,"
60,Dumbbell V-Sit Cross Jab-,Strength,Abs,twist,Dumbbell,Intermediate,"Dumbbell V-Sit Cross Jab is a full-body exercise designed to build better coordination, endurance, stability, and strength Performed in a V-sit position, the movement focuses on maintaining core engagement while alternating cross jabs with dumbbells on both sides This exercise provides an intense cardio and strength-building workout, and is suitable for any fitness level"
61,30 Hanging Leg Raise With Dumbbell,Strength,Abs,Hinge,Dumbbell,Intermediate,"The 30 Hanging Leg Raise With Dumbbell is a great core exercise that strengthens and tones your abs, obliques, and lower back It is performed by hanging from a pull-up bar with a short distance between your hands and legs The weight of the dumbbell should be based on your level of fitness and ability From a hanging position, lift your legs up and crunch the abs to hold the dumbbell between your feet Lower your legs slowly back to the starting position"
62,Dumbbell Get-Up Sit-Up,Strength,Abs,Hinge,Dumbbell,Advanced,"The Dumbbell Get-Up Sit-Up is an exercise which combines strength and cardio training It involves lying on your back with a dumbbell held overhead, then explosively performing a sit-up while keeping the dumbbell held overhead the entire time This exercise is an excellent full-body workout, focusing on coordination and core strength"
63,Holman Right Side Plank With Left Triceps Press,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Right Side Plank with Left Triceps Press is a full-body fitness movement that targets your arms, neck, core stability, and glutes to create a strong and balanced body By holding the right side plank position while extending and curling your arms with the left triceps press, you can challenge yourself to maintain your balance and proper form while increasing your strength and stability"
64,Holman Left Side Plank With Right Triceps Press,Strength,Abs,Push,Dumbbell,Intermediate,"Holman Left Side Plank With Right Triceps Press is a fitness movement that focuses on building core and arm strength It requires balancing on the left side while in a plank position while pressing a dumbbell or similar weight with the right arm It is designed to target the abdominal obliques, core muscles, and triceps which can help improve posture, balance, and strength"
65,Holman Boat With Feet Push-Out And Overhead Press,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Boat with Feet Push-Out and Overhead Press is a full-body functional exercise that works both the upper and lower body in one fluid movement It is an exercise that can improve overall strength and coordination as well as core stability it involves pushing your feet out into a prone position and then pushing your body off of the ground as you press your arms overhead It is an effective way to target different muscle groups in one movement, perfect for circuit training or a HIIT"
66,Holman Hovering Plank Row,Strength,Abs,Push,Dumbbell,Intermediate,"Holman Hovering Plank Row is a functional, compound fitness movement that strengthens the arms, shoulders, core, and legs It requires the athlete to perform a plank on their hands hovering just above the ground or a mat, while alternately performing a bent over row with Dumbbells or Other Handheld Weights This exercise promotes total body stability, coordination, and balance, while also developing muscular strength and endurance"
67,Holman Weighted Seated Killer Abs To Russian Twist,Strength,Abs,Twist,Dumbbell,Intermediate,"Holman Weighted Seated Killer Abs To Russian Twist is a fitness movement that focuses on building dynamic core strength and stability It involves sitting upright on a stability ball with a weighted plate or weighted ball held with both hands and then rotating the torso from side to side, as you extend your arms towards the floor then twist back up to the centre This exercise not only strengthens the core but increases flexibility, stability and balance"
68,Holman Straight Plank Dumbbell Reach-Under,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Straight Plank Dumbbell Reach-Under is an effective and versatile fitness movement that promotes shoulder and core stability, as well as full body conditioning Through the exercise, you plank with your chest slightly below the ground and arms outstretched, while holding a dumbbell with both hands To complete the movement, you reach back with one hand, grab the dumbbell, and reach underneath and in front of you, before moving back to the starting position and repeating the exercise on the"
69,Holman Straight-Arm Side Plank Overhead Press To Chest Press,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Straight-Arm Side Plank Overhead Press To Chest Press is a full-body fitness move that utilizes isometric holds, rotational movements, and upper body pressing to build strength, stability, and core power This functional, compound movement helps to train the shoulder, core, and arm muscles, and is a great way to increase total body strength while improving posture and core stability"
70,Holman Weighted Burpee To Pike,Strength,Abs,Squat,Dumbbell,Intermediate,"The Holman Weighted Burpee To Pike is a fitness movement that challenges the user by combining a burpee and a pike jump together with the added difficulty of holding a weight This exercise targets multiple muscle groups with an emphasis on the abs, legs, chest, shoulders and arms It is an excellent full-body workout that works on your strength, power, and muscular endurance"
71,Holman Straight-Legged Boat Chest Press,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Straight-Legged Boat Chest Press is an effective exercise that targets the chest muscles and is a great way to add variety to a workout routine It starts from the floor in a seated position with hands placed on two benches, knees bent and feet flat on the floor The user then moves the upper body towards the floor by pushing the hands down while maintaining the straight-legged boat position The user then returns to the starting position to complete 1 rep It is an effective"
72,Holman Weighted Burpee To Side Delt Raise,Strength,Abs,Push,Dumbbell,Intermediate,"The Holman Weighted Burpee To Side Delt Raise is a full-body plyometric exercise that combines a burpee with a side delt raise This dynamic movement puts the body through a complete range of motion that works the muscles of the legs, core, and arms, making it an effective way to build and tone overall strength and fitness"
73,Holman Heavy Double Pike,Strength,Abs,Twist,Dumbbell,Intermediate,"Holman Heavy Double Pike is a fitness movement designed to help increase overall strength and build core stability It involves holding a heavy weight overhead, then twisting the body to one side and lowering the weight into a pike position The movement is completed by returning to the standing position and repeating the movement on the opposite side It can be done with either one weight or two weights depending on the level of difficulty desired"
74,Holman Heavy Double Split Pike,Strength,Abs,Lunge,Dumbbell,Intermediate,"Holman Heavy Double Split Pike is a functional fitness movement that challenges both upper body and core strength It consists of three distinct movements: a full range of motion front lunge, transition into an explosive jump while extending the arms to hit a pike position and holding it at the peak before releasing back to a lunge Not only does this movement require strong legs, but also core and upper body strength and coordination"
75,Metaburn Alternating Dumbbell Sit-Through,Strength,Abs,Lunge,Dumbbell,Intermediate,"The Metaburn Alternating Dumbbell Sit-Through is a powerful total-body exercise that targets the core, arms, chest, and back It is a dynamic exercise that requires explosive power and core stability, engaging multiple muscles groups at the same time It is an effective tool for improving overall muscular endurance, joint stability, and coordination"
76,Metaburn Alternating Plank Row With Dumbbell Pull-Through,Strength,Abs,Push,Dumbbell,Intermediate,"Metaburn Alternating Plank Row With Dumbbell Pull-Through is a fitness movement that combines planks and rows to target your upper body and core muscles while also increasing your mobility and cardiovascular endurance The combination of a plank row with a pull-through exercise helps to target the back, shoulders, and arms while engaging your core and working on your balance and posture This full-body exercise is great for building strength, improving endurance, and increasing overall fitness"
77,Metaburn Alternating Plank Row With Push-Up,Strength,Abs,Push,Dumbbell,Intermediate,"Metaburn Alternating Plank Row With Push-Up is a high-intensity interval training exercise that targets all the major muscles in your body It combines a traditional plank position with rowing and push-up movements for an overall full-body workout It is designed to improve your strength, endurance, and overall fitness by increasing muscular endurance and burning calories"
78,Metaburn Dumbbell Russian Twist,Strength,Abs,Twist,Dumbbell,Intermediate,"Metaburn Dumbbell Russian Twist is an effective, fat burning exercise that strengthens and tones the entire core and oblique muscles This movement is accomplished by sitting up with the spine straight, legs bent at a 90-degree angle, and a dumbbell held with both hands in front of the chest Then rotate the weight side-to-side using the abdominals and obliques The weight can be increased for more of a challenge"
79,Metaburn Dumbbell Toe-Touch,Strength,Abs,Hinge,Dumbbell,Intermediate,"Metaburn Dumbbell Toe-Touch is an effective workout for strengthening the entire body It involves performing a toe-touch with a dumbbell in each hand This exercise engages the core muscles and works the legs, shoulders, and arms It is known to boost your metabolism, increase strength, and sculpt your body"
80,Metaburn Plank To Alternating Row,Strength,Abs,Push,Dumbbell,Intermediate,"Metaburn Plank To Alternating Row is a full-body fitness movement that combines planks and alternating rows to target the core, glutes, arms, and shoulders By starting in a plank position, the exerciser engages their entire body at once while alternating between rows and planks to help build endurance, strength, and stability"
